Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Age Group,Addiction Level,Mental Health Category,Sleep Category
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7,21-22,High,Fair,Normal
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5,18-20,Medium,Good,Normal
232,22,Male,Graduate,Germany,4,Instagram,No,7.9,8,Single,1,4,21-22,Medium,Good,Normal
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8,8,Single,1,3,18-20,Low,Good,Normal
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8,21-22,High,Fair,Normal
235,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.8,6,Single,3,6,18-20,Medium,Fair,Normal
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5,21-22,Medium,Good,Normal
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9,18-20,High,Poor,Insufficient
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7,21-22,High,Fair,Normal
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5,18-20,Medium,Good,Normal
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4,21-22,Medium,Good,Normal
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1,3,18-20,Low,Good,Normal
242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,21-22,High,Fair,Normal
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3,6,18-20,Medium,Fair,Normal
244,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2,5,21-22,Medium,Good,Normal
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9,18-20,High,Poor,Insufficient
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7,21-22,High,Fair,Normal
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5,18-20,Medium,Good,Normal
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4,21-22,Medium,Good,Normal
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1,3,18-20,Low,Good,High
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8,21-22,High,Fair,Normal
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3,6,18-20,Medium,Fair,Normal
252,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2,5,21-22,Medium,Good,Normal
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9,18-20,High,Poor,Insufficient
254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7,21-22,High,Fair,Normal
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5,18-20,Medium,Good,Normal
256,22,Male,Graduate,Germany,4,Facebook,No,7.6,8,In Relationship,2,4,21-22,Medium,Good,Normal
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3,18-20,Low,Good,High
258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7,21-22,High,Fair,Normal
259,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.7,6,In Relationship,3,6,18-20,Medium,Fair,Normal
260,22,Male,Graduate,Russia,4.4,VKontakte,No,7.6,7,Single,2,5,21-22,Medium,Good,Normal
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9,18-20,High,Poor,Insufficient
262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7,21-22,High,Fair,Normal
263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2,5,18-20,Medium,Good,Normal
264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4,21-22,Medium,Good,Normal
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3,18-20,Low,Good,High
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8,21-22,High,Fair,Normal
267,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7,6,Single,3,6,18-20,Medium,Fair,Normal
268,22,Male,Graduate,Russia,4.3,VKontakte,No,7.7,7,In Relationship,2,5,21-22,Medium,Good,Normal
269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4,9,18-20,High,Poor,Insufficient
270,21,Male,Graduate,UK,5.2,Facebook,Yes,6.4,6,In Relationship,3,7,21-22,High,Fair,Normal
271,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,Single,2,5,18-20,Medium,Good,Normal
272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4,21-22,Medium,Good,Normal
273,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,Single,1,3,18-20,Low,Good,High
274,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,21-22,High,Fair,Normal
275,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,In Relationship,3,6,18-20,Medium,Fair,Normal
276,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2,5,21-22,Medium,Good,Normal
277,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,In Relationship,4,9,18-20,High,Poor,Insufficient
278,21,Male,Graduate,UK,5.1,Instagram,Yes,6.5,6,Single,3,7,21-22,High,Fair,Normal
279,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,In Relationship,2,5,18-20,Medium,Good,Normal
280,22,Male,Graduate,Germany,3.6,Instagram,No,7.9,8,Single,1,4,21-22,Medium,Good,Normal
281,19,Female,Undergraduate,Japan,3.1,LINE,No,8.5,8,Single,1,3,18-20,Low,Good,High
282,21,Male,Graduate,Italy,5.3,TikTok,Yes,6.8,5,In Relationship,3,8,21-22,High,Fair,Normal
283,20,Female,Undergraduate,South Korea,4.6,KakaoTalk,Yes,7.2,6,Single,3,6,18-20,Medium,Fair,Normal
284,22,Male,Graduate,Russia,4.1,VKontakte,No,7.9,7,In Relationship,2,5,21-22,Medium,Good,Normal
285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9,18-20,High,Poor,Insufficient
286,21,Male,Graduate,UK,5,Facebook,Yes,6.6,6,In Relationship,3,7,21-22,High,Fair,Normal
287,20,Female,Undergraduate,Australia,4.3,Instagram,No,7.5,7,Single,2,5,18-20,Medium,Good,Normal
288,22,Male,Graduate,Germany,3.5,Facebook,No,8,8,In Relationship,1,4,21-22,Medium,Good,Normal
289,19,Female,Undergraduate,Japan,3,LINE,No,8.6,8,Single,1,3,18-20,Low,Good,High
290,21,Male,Graduate,Italy,5.2,Instagram,Yes,6.9,5,Single,3,7,21-22,High,Fair,Normal
291,20,Female,Undergraduate,South Korea,4.5,KakaoTalk,Yes,7.3,6,In Relationship,3,6,18-20,Medium,Fair,Normal
292,22,Male,Graduate,Russia,4,VKontakte,No,8,7,Single,2,5,21-22,Medium,Good,Normal
293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9,18-20,High,Poor,Insufficient
294,21,Male,Graduate,UK,4.9,Instagram,Yes,6.7,6,Single,3,7,21-22,High,Fair,Normal
295,20,Female,Undergraduate,Australia,4.2,Facebook,No,7.6,7,In Relationship,2,5,18-20,Medium,Good,Normal
296,22,Male,Graduate,Germany,3.4,Instagram,No,8.1,8,Single,1,4,21-22,Medium,Good,High
297,19,Female,Undergraduate,Japan,2.9,LINE,No,8.7,8,Single,1,3,18-20,Low,Good,High
298,21,Male,Graduate,Italy,5.1,TikTok,Yes,7,5,In Relationship,3,8,21-22,High,Fair,Normal
299,20,Female,Undergraduate,South Korea,4.4,KakaoTalk,Yes,7.4,6,Single,3,6,18-20,Medium,Fair,Normal
300,22,Male,Graduate,Russia,3.9,VKontakte,No,8.1,7,In Relationship,2,5,21-22,Medium,Good,High
301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9,18-20,High,Poor,Insufficient
302,21,Male,Graduate,UK,4.8,Facebook,Yes,6.8,6,In Relationship,3,7,21-22,High,Fair,Normal
303,20,Female,Undergraduate,Australia,4.1,Instagram,No,7.7,7,Single,2,5,18-20,Medium,Good,Normal
304,22,Male,Graduate,Germany,3.3,Facebook,No,8.2,8,In Relationship,1,4,21-22,Medium,Good,High
305,19,Female,Undergraduate,Japan,2.8,LINE,No,8.8,8,Single,1,3,18-20,Low,Good,High
306,21,Male,Graduate,Italy,5,Instagram,Yes,7.1,5,Single,3,7,21-22,High,Fair,Normal
307,20,Female,Undergraduate,South Korea,4.3,KakaoTalk,Yes,7.5,6,In Relationship,3,6,18-20,Medium,Fair,Normal
308,22,Male,Graduate,Russia,3.8,VKontakte,No,8.2,7,Single,2,5,21-22,Medium,Good,High
309,19,Female,Undergraduate,USA,7,TikTok,Yes,5.1,4,In Relationship,4,9,18-20,High,Poor,Insufficient
310,21,Male,Graduate,UK,4.7,Instagram,Yes,6.9,6,Single,3,7,21-22,High,Fair,Normal
311,20,Female,Undergraduate,Australia,4,Facebook,No,7.8,7,In Relationship,2,5,18-20,Medium,Good,Normal
312,22,Male,Graduate,Germany,3.2,Instagram,No,8.3,8,Single,1,4,21-22,Medium,Good,High
313,19,Female,Undergraduate,Japan,2.7,LINE,No,8.9,8,Single,1,3,18-20,Low,Good,High
314,21,Male,Graduate,Italy,4.9,TikTok,Yes,7.2,5,In Relationship,3,8,21-22,High,Fair,Normal
315,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,Single,3,6,18-20,Medium,Fair,Normal
316,22,Male,Graduate,Russia,3.7,VKontakte,No,8.3,7,In Relationship,2,5,21-22,Medium,Good,High
317,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5,4,Single,4,9,18-20,High,Poor,Insufficient
318,21,Male,Graduate,UK,4.6,Facebook,Yes,7,6,In Relationship,3,7,21-22,High,Fair,Normal
319,20,Female,Undergraduate,Australia,3.9,Instagram,No,7.9,7,Single,2,5,18-20,Medium,Good,Normal
320,22,Male,Graduate,Germany,3.1,Facebook,No,8.4,8,In Relationship,1,4,21-22,Medium,Good,High
321,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,Single,3,7,18-20,High,Fair,Normal
322,21,Male,Graduate,Denmark,4.1,Facebook,No,7.8,8,In Relationship,2,4,21-22,Medium,Good,Normal
323,20,Female,Undergraduate,Ireland,5,Instagram,Yes,7,7,Single,3,6,18-20,Medium,Good,Normal
324,22,Male,Graduate,India,5.8,WhatsApp,Yes,6.5,5,In Relationship,4,8,21-22,High,Fair,Normal
325,19,Female,Undergraduate,Switzerland,4,Instagram,No,7.9,8,Single,2,4,18-20,Medium,Good,Normal
326,21,Male,Graduate,Turkey,5.5,Instagram,Yes,6.7,6,Single,3,7,21-22,High,Fair,Normal
327,20,Female,Undergraduate,USA,6.8,TikTok,Yes,5.5,5,In Relationship,4,9,18-20,High,Fair,Insufficient
328,22,Male,Graduate,Mexico,5.6,WhatsApp,Yes,6.6,6,Single,3,7,21-22,High,Fair,Normal
329,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,In Relationship,2,5,18-20,Medium,Good,Normal
330,21,Male,Graduate,Canada,5.3,Instagram,Yes,6.9,6,Single,3,7,21-22,High,Fair,Normal
331,20,Female,Undergraduate,Spain,5.1,TikTok,Yes,6.7,6,Single,3,7,18-20,High,Fair,Normal
332,22,Male,Graduate,Denmark,3.9,Facebook,No,7.9,8,In Relationship,2,4,21-22,Medium,Good,Normal
333,19,Female,Undergraduate,Ireland,4.8,Instagram,Yes,7.1,7,Single,3,6,18-20,Medium,Good,Normal
334,21,Male,Graduate,India,5.9,WhatsApp,Yes,6.4,5,In Relationship,4,8,21-22,High,Fair,Normal
335,20,Female,Undergraduate,Switzerland,3.8,Instagram,No,8,8,Single,2,4,18-20,Medium,Good,Normal
336,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7,21-22,High,Fair,Normal
337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9,18-20,High,Fair,Insufficient
338,21,Male,Graduate,Mexico,5.7,WhatsApp,Yes,6.5,6,Single,3,7,21-22,High,Fair,Normal
339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5,18-20,Medium,Good,Normal
340,22,Male,Graduate,Canada,5.2,TikTok,Yes,7,6,Single,3,7,21-22,High,Fair,Normal
341,19,Female,Undergraduate,Spain,5,Instagram,Yes,6.9,6,Single,3,7,18-20,High,Fair,Normal
342,21,Male,Graduate,Denmark,3.8,Facebook,No,8,8,In Relationship,2,4,21-22,Medium,Good,Normal
343,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,Single,3,6,18-20,Medium,Good,Normal
344,22,Male,Graduate,India,6,WhatsApp,Yes,6.3,5,In Relationship,4,8,21-22,High,Fair,Normal
345,19,Female,Undergraduate,Switzerland,3.7,Instagram,No,8.1,8,Single,2,4,18-20,Medium,Good,High
346,21,Male,Graduate,Turkey,5.3,Instagram,Yes,6.9,6,Single,3,7,21-22,High,Fair,Normal
347,20,Female,Undergraduate,USA,7,TikTok,Yes,5.3,5,In Relationship,4,9,18-20,High,Fair,Insufficient
348,22,Male,Graduate,Mexico,5.8,WhatsApp,Yes,6.4,6,Single,3,7,21-22,High,Fair,Normal
349,19,Female,Undergraduate,France,4.3,Instagram,No,7.7,7,In Relationship,2,5,18-20,Medium,Good,Normal
350,21,Male,Graduate,Canada,5.1,Instagram,Yes,7.1,6,Single,3,7,21-22,High,Fair,Normal
351,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7,6,Single,3,7,18-20,High,Fair,Normal
352,22,Male,Graduate,Denmark,3.7,Facebook,No,8.1,8,In Relationship,2,4,21-22,Medium,Good,High
353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6,18-20,Medium,Good,Normal
354,21,Male,Graduate,India,6.1,WhatsApp,Yes,6.2,5,In Relationship,4,8,21-22,High,Fair,Normal
355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4,18-20,Medium,Good,High
356,22,Male,Graduate,Turkey,5.2,TikTok,Yes,7,6,Single,3,7,21-22,High,Fair,Normal
357,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.2,5,In Relationship,4,9,18-20,High,Fair,Insufficient
358,21,Male,Graduate,Mexico,5.9,WhatsApp,Yes,6.3,6,Single,3,7,21-22,High,Fair,Normal
359,20,Female,Undergraduate,France,4.2,Instagram,No,7.8,7,In Relationship,2,5,18-20,Medium,Good,Normal
360,22,Male,Graduate,Canada,5,TikTok,Yes,7.2,6,Single,3,7,21-22,High,Fair,Normal
361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7,18-20,High,Fair,Normal
362,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4,21-22,Medium,Good,High
363,20,Female,Undergraduate,Ireland,4.5,TikTok,Yes,7.4,7,Single,3,6,18-20,Medium,Good,Normal
364,22,Male,Graduate,India,6.2,WhatsApp,Yes,6.1,5,In Relationship,4,8,21-22,High,Fair,Normal
365,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,Single,2,4,18-20,Medium,Good,High
366,21,Male,Graduate,Turkey,5.1,Instagram,Yes,7.1,6,Single,3,7,21-22,High,Fair,Normal
367,20,Female,Undergraduate,USA,7.2,TikTok,Yes,5.1,5,In Relationship,4,9,18-20,High,Fair,Insufficient
368,22,Male,Graduate,Mexico,6,WhatsApp,Yes,6.2,6,Single,3,7,21-22,High,Fair,Normal
369,19,Female,Undergraduate,France,4.1,Instagram,No,7.9,7,In Relationship,2,5,18-20,Medium,Good,Normal
370,21,Male,Graduate,Canada,4.9,Instagram,Yes,7.3,6,Single,3,7,21-22,High,Fair,Normal
371,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,Single,3,7,18-20,High,Fair,Normal
372,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4,21-22,Medium,Good,High
373,19,Female,Undergraduate,Ireland,4.4,Instagram,Yes,7.5,7,Single,3,6,18-20,Medium,Good,Normal
374,21,Male,Graduate,India,6.3,WhatsApp,Yes,6,5,In Relationship,4,8,21-22,High,Fair,Normal
375,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,Single,2,4,18-20,Medium,Good,High
376,22,Male,Graduate,Turkey,5,TikTok,Yes,7.2,6,Single,3,7,21-22,High,Fair,Normal
377,19,Female,Undergraduate,USA,7.3,Instagram,Yes,5,5,In Relationship,4,9,18-20,High,Fair,Insufficient
378,21,Male,Graduate,Mexico,6.1,WhatsApp,Yes,6.1,6,Single,3,7,21-22,High,Fair,Normal
379,20,Female,Undergraduate,France,4,Instagram,No,8,7,In Relationship,2,5,18-20,Medium,Good,Normal
380,22,Male,Graduate,Canada,4.8,TikTok,Yes,7.4,6,Single,3,7,21-22,High,Fair,Normal
381,19,Female,Undergraduate,Spain,4.6,Instagram,Yes,7.3,6,Single,3,7,18-20,High,Fair,Normal
382,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4,21-22,Medium,Good,High
383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6,18-20,Medium,Good,Normal
384,22,Male,Graduate,India,6.4,WhatsApp,Yes,5.9,5,In Relationship,4,8,21-22,High,Fair,Insufficient
385,19,Female,Undergraduate,Switzerland,3.3,Instagram,No,8.5,8,Single,2,4,18-20,Medium,Good,High
386,21,Male,Graduate,Turkey,4.9,Instagram,Yes,7.3,6,Single,3,7,21-22,High,Fair,Normal
387,20,Female,Undergraduate,USA,7.4,TikTok,Yes,4.9,5,In Relationship,4,9,18-20,High,Fair,Insufficient
388,22,Male,Graduate,Mexico,6.2,WhatsApp,Yes,6,6,Single,3,7,21-22,High,Fair,Normal
389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5,18-20,Medium,Good,High
390,21,Male,Graduate,Canada,4.7,Instagram,Yes,7.5,6,Single,3,7,21-22,High,Fair,Normal
391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7,18-20,High,Fair,Normal
392,22,Male,Graduate,Denmark,3.3,Facebook,No,8.5,8,In Relationship,2,4,21-22,Medium,Good,High
393,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,Single,3,6,18-20,Medium,Good,Normal
394,21,Male,Graduate,India,6.5,WhatsApp,Yes,5.8,5,In Relationship,4,8,21-22,High,Fair,Insufficient
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4,18-20,Medium,Good,High
396,22,Male,Graduate,Turkey,4.8,TikTok,Yes,7.4,6,Single,3,7,21-22,High,Fair,Normal
397,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,In Relationship,4,9,18-20,High,Fair,Insufficient
398,21,Male,Graduate,Mexico,6.3,WhatsApp,Yes,5.9,6,Single,3,7,21-22,High,Fair,Insufficient
399,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,In Relationship,2,5,18-20,Medium,Good,High
400,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7,21-22,High,Fair,Normal
401,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,Single,3,7,18-20,High,Fair,Normal
402,21,Male,Graduate,Denmark,3.2,Facebook,No,8.6,8,In Relationship,2,4,21-22,Medium,Good,High
403,20,Female,Undergraduate,Ireland,4.1,TikTok,Yes,7.8,7,Single,3,6,18-20,Medium,Good,Normal
404,22,Male,Graduate,India,6.6,WhatsApp,Yes,5.7,5,In Relationship,4,8,21-22,High,Fair,Insufficient
405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4,18-20,Medium,Good,High
406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7,21-22,High,Fair,Normal
407,20,Female,Undergraduate,USA,7.6,TikTok,Yes,4.7,5,In Relationship,4,9,18-20,High,Fair,Insufficient
408,22,Male,Graduate,Mexico,6.4,WhatsApp,Yes,5.8,6,Single,3,7,21-22,High,Fair,Insufficient
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5,18-20,Medium,Good,High
410,21,Male,Graduate,Canada,4.5,Instagram,Yes,7.7,6,Single,3,7,21-22,High,Fair,Normal
411,20,Female,Undergraduate,Spain,4.3,TikTok,Yes,7.6,6,Single,3,7,18-20,High,Fair,Normal
412,22,Male,Graduate,Denmark,3.1,Facebook,No,8.7,8,In Relationship,2,4,21-22,Medium,Good,High
413,19,Female,Undergraduate,Ireland,4,Instagram,Yes,7.9,7,Single,3,6,18-20,Medium,Good,Normal
414,21,Male,Graduate,India,6.7,WhatsApp,Yes,5.6,5,In Relationship,4,8,21-22,High,Fair,Insufficient
415,20,Female,Undergraduate,Switzerland,3,Instagram,No,8.8,8,Single,2,4,18-20,Medium,Good,High
416,22,Male,Graduate,Turkey,4.6,TikTok,Yes,7.6,6,Single,3,7,21-22,High,Fair,Normal
417,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,In Relationship,4,9,18-20,High,Fair,Insufficient
418,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7,21-22,High,Fair,Insufficient
419,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,In Relationship,2,5,18-20,Medium,Good,High
420,22,Male,Graduate,Canada,4.4,TikTok,Yes,7.8,6,Single,3,7,21-22,High,Fair,Normal
421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7,18-20,High,Fair,Normal
422,21,Male,Graduate,Denmark,3,Facebook,No,8.8,8,In Relationship,2,4,21-22,Medium,Good,High
423,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8,7,Single,3,6,18-20,Medium,Good,Normal
424,22,Male,Graduate,India,6.8,WhatsApp,Yes,5.5,5,In Relationship,4,8,21-22,High,Fair,Insufficient
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4,18-20,Medium,Good,High
426,21,Male,Graduate,Turkey,4.5,Instagram,Yes,7.7,6,Single,3,7,21-22,High,Fair,Normal
427,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,In Relationship,4,9,18-20,High,Fair,Insufficient
428,22,Male,Graduate,Mexico,6.6,WhatsApp,Yes,5.6,6,Single,3,7,21-22,High,Fair,Insufficient
429,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,In Relationship,2,5,18-20,Medium,Good,High
430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7,21-22,High,Fair,Normal
431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7,18-20,High,Fair,Normal
432,22,Male,Graduate,Denmark,2.9,Facebook,No,8.9,8,In Relationship,2,4,21-22,Medium,Good,High
433,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,Single,3,6,18-20,Medium,Good,High
434,21,Male,Graduate,India,6.9,WhatsApp,Yes,5.4,5,In Relationship,4,8,21-22,High,Fair,Insufficient
435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9,8,Single,2,4,18-20,Medium,Good,High
436,22,Male,Graduate,Turkey,4.4,TikTok,Yes,7.8,6,Single,3,7,21-22,High,Fair,Normal
437,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,In Relationship,4,9,18-20,High,Fair,Insufficient
438,21,Male,Graduate,Mexico,6.7,WhatsApp,Yes,5.5,6,Single,3,7,21-22,High,Fair,Insufficient
439,20,Female,Undergraduate,France,3.4,Instagram,No,8.6,7,In Relationship,2,5,18-20,Medium,Good,High
440,22,Male,Graduate,Canada,4.2,TikTok,Yes,8,6,Single,3,7,21-22,High,Fair,Normal
441,19,Female,Undergraduate,Spain,4,Instagram,Yes,7.9,6,Single,3,7,18-20,High,Fair,Normal
442,21,Male,Graduate,Denmark,2.8,Facebook,No,9,8,In Relationship,2,4,21-22,Medium,Good,High
443,20,Female,Undergraduate,Ireland,3.7,TikTok,Yes,8.2,7,Single,3,6,18-20,Medium,Good,High
444,22,Male,Graduate,India,7,WhatsApp,Yes,5.3,5,In Relationship,4,8,21-22,High,Fair,Insufficient
445,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,Single,2,4,18-20,Medium,Good,High
446,21,Male,Graduate,Turkey,4.3,Instagram,Yes,7.9,6,Single,3,7,21-22,High,Fair,Normal
447,20,Female,Undergraduate,USA,8,TikTok,Yes,4.3,5,In Relationship,4,9,18-20,High,Fair,Insufficient
448,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7,21-22,High,Fair,Insufficient
449,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,In Relationship,2,5,18-20,Medium,Good,High
450,21,Male,Graduate,Canada,4.1,Instagram,Yes,8.1,6,Single,3,7,21-22,High,Fair,High
451,20,Female,Undergraduate,Spain,3.9,TikTok,Yes,8,6,Single,3,7,18-20,High,Fair,Normal
452,22,Male,Graduate,Denmark,2.7,Facebook,No,9.1,8,In Relationship,2,4,21-22,Medium,Good,High
453,19,Female,Undergraduate,Ireland,3.6,Instagram,Yes,8.3,7,Single,3,6,18-20,Medium,Good,High
454,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8,21-22,High,Fair,Insufficient
455,20,Female,Undergraduate,Switzerland,2.6,Instagram,No,9.2,8,Single,2,4,18-20,Medium,Good,High
456,22,Male,Graduate,Turkey,4.2,TikTok,Yes,8,6,Single,3,7,21-22,High,Fair,Normal
457,19,Female,Undergraduate,USA,8.1,Instagram,Yes,4.2,5,In Relationship,4,9,18-20,High,Fair,Insufficient
458,21,Male,Graduate,Mexico,6.9,WhatsApp,Yes,5.3,6,Single,3,7,21-22,High,Fair,Insufficient
459,20,Female,Undergraduate,France,3.2,Instagram,No,8.8,7,In Relationship,2,5,18-20,Medium,Good,High
460,22,Male,Graduate,Canada,4,TikTok,Yes,8.2,6,Single,3,7,21-22,High,Fair,High
461,19,Female,Undergraduate,Spain,3.8,Instagram,Yes,8.1,6,Single,3,7,18-20,High,Fair,High
462,21,Male,Graduate,Denmark,2.6,Facebook,No,9.2,8,In Relationship,2,4,21-22,Medium,Good,High
463,20,Female,Undergraduate,Ireland,3.5,TikTok,Yes,8.4,7,Single,3,6,18-20,Medium,Good,High
464,22,Male,Graduate,India,7.2,WhatsApp,Yes,5.1,5,In Relationship,4,8,21-22,High,Fair,Insufficient
465,19,Female,Undergraduate,Switzerland,2.5,Instagram,No,9.3,8,Single,2,4,18-20,Medium,Good,High
466,21,Male,Graduate,Turkey,4.1,Instagram,Yes,8.1,6,Single,3,7,21-22,High,Fair,High
467,20,Female,Undergraduate,USA,8.2,TikTok,Yes,4.1,5,In Relationship,4,9,18-20,High,Fair,Insufficient
468,22,Male,Graduate,Mexico,7,WhatsApp,Yes,5.2,6,Single,3,7,21-22,High,Fair,Insufficient
